movie_title,movie_info,genres,directors,authors,actors,release_date
Everything Everywhere All at Once,"Directed by Daniel Kwan and Daniel Scheinert, collectively known as Daniels, the film is a hilarious and big-hearted sci-fi action adventure about an exhausted Chinese American woman (Michelle Yeoh) who can't seem to finish her taxes.","Comedy, Adventure, Sci-Fi, Fantasy","Dan Kwan, Daniel Scheinert","Dan Kwan, Daniel Scheinert","Michelle Yeoh, Evelyn Wang, Stephanie Hsu, Joy Wang, Jobu Tupaki, Ke Huy Quan, Waymond Wang, James Hong, Gong Gong, Jamie Lee Curtis, Deirdre Beaubeirdra, Jenny Slate, Debbie the Dog Mom","Apr 8, 2022"
A Man Called Otto,"Based on the comical and moving New York Times bestseller, A Man Called Otto tells the story of Otto Anderson (Tom Hanks), a grumpy widower whose only joy comes from criticizing and judging his exasperated neighbors. When a lively young family moves in next door, he meets his match in quick-witted and very pregnant Marisol, leading to an unexpected friendship that will turn his world upside-down.","Comedy, Drama",Marc Forster,David Magee,"Tom Hanks, Otto Anderson, Mack Bayda, Malcolm, Mariana Treviño, Marisol, Rachel Keller, Sonya, Manuel Garcia-Rulfo, Tommy, Cameron Britton, Jimmy","Jan 13, 2023"
The Whale,A reclusive English teacher suffering from severe obesity attempts to reconnect with his estranged teenage daughter for one last chance at redemption.,Drama,Darren Aronofsky,Samuel D. Hunter,"Brendan Fraser, Sadie Sink, Hong Chau, Ty Simpkins, Samantha Morton, Darren Aronofsky, Director","Dec 21, 2022"
Palm Trees and Power Lines,"Seventeen-year-old Lea (Lily McInerny) spends her summer break aimlessly tanning in her backyard with her best friend, tiptoeing around her needy mother, and getting stoned with a group of boys from school. This monotony is interrupted by a chance encounter with Tom (Jonathan Tucker), an older man who promises an alternative to Lea's unsatisfying adolescent life. But as things progress between them, red flags about Tom's life begin to surface, and Lea chooses to ignore them. Under Tom's influence, Lea begins to see her mom as unfit and her friends as a waste of her time. Isolated from those around her, Lea discovers Tom’s true intentions and finds herself in a situation that she never could have imagined.",Drama,Jamie Dack,"Jamie Dack, Audrey Findlay","Lily McInerny, Lea, Jonathan Tucker, Tom, Gretchen Mol, Sandra, Jamie Dack, Director, Jamie Dack, Screenwriter, Audrey Findlay, Screenwriter","Mar 3, 2023"
Knock at the Cabin,"While vacationing at a remote cabin, a young girl and her parents are taken hostage by four armed strangers who demand that the family make an unthinkable choice to avert the apocalypse. With limited access to the outside world, the family must decide what they believe before all is lost.","Mystery & Thriller, Drama",M. Night Shyamalan,"M. Night Shyamalan, Steve Desmond, Michael Sherman","Dave Bautista, Leonard, Jonathan Groff, Eric, Ben Aldridge, Andrew, Nikki Amuka-Bird, Sabrina, Kristen Cui, Wen, Abby Quinn, Adriane","Feb 3, 2023"
All That Breathes,"In one of the world's most populated cities, cows, rats, monkeys, frogs, and hogs jostle cheek-by-jowl with people. Here, two brothers fall in love with a bird -- the black kite. From their makeshift bird hospital in their tiny basement, the ""kite brothers"" care for thousands of these mesmeric creatures that drop daily from New Delhi's smog-choked skies. As environmental toxicity and civil unrest escalate, the relationship between this Muslim family and the neglected kite forms a poetic chronicle of the city's collapsing ecology and rising social tensions.",Documentary,Shaunak Sen,,"Shaunak Sen, Director, Shaunak Sen, Producer, Aman Mann, Producer, Teddy Leifer, Producer, Sean B. Carroll, Executive Producer, David Elisco, Executive Producer","Oct 21, 2022"
The Banshees of Inisherin,"Set on a remote island off the west coast of Ireland, THE BANSHEES OF INISHERIN follows lifelong friends Pádraic and Colm, who find themselves at an impasse when Colm unexpectedly puts an end to their friendship. A stunned Pádraic, aided by his sister Siobhán and troubled young islander Dominic, endeavours to repair the relationship, refusing to take no for an answer. But Pádraic's repeated efforts only strengthen his former friend’s resolve and when Colm delivers a desperate ultimatum, events swiftly escalate, with shocking consequences.",Comedy,Martin McDonagh,Martin McDonagh,"Colin Farrell, Pádraic Súilleabháin, Brendan Gleeson, Colm Doherty, Kerry Condon, Siobhan Súilleabháin, Barry Keoghan, Dominic Kearney, Pat Shortt, Jonjo Devine, Gary Lydon, Peadar Kearney","Nov 4, 2022"
We Have a Ghost,"Finding a ghost named Ernest haunting their new home turns Kevin's family into overnight social media sensations. But when Kevin and Ernest go rogue to investigate the mystery of Ernest's past, they become a target of the CIA.","Comedy, Adventure",Christopher Landon,Christopher Landon,"David Harbour, Ernest, Jahi Di'Allo Winston, Kevin, Anthony Mackie, Frank, Erica Ash, Melanie, Niles Fitch, Fulton Presley, Jennifer Coolidge","Feb 17, 2023"
Triangle of Sadness,"In Ruben Östlund's wickedly funny Palme d'Or winner, social hierarchy is turned upside down, revealing the tawdry relationship between power and beauty. Celebrity model couple, Carl (Harris Dickinson) and Yaya (Charlbi Dean), are invited on a luxury cruise for the uber-rich, helmed by an unhinged boat captain (Woody Harrelson). What first appeared instagrammable ends catastrophically, leaving the survivors stranded on a desert island and fighting for survival.",Comedy,Ruben Östlund,Ruben Östlund,"Harris Dickinson, Carl, Charlbi Dean Kriek, Yaya, Woody Harrelson, Captain Thomas Smith, Dolly De Leon, Abigail, Zlatko Buric, Dimitry, Iris Berben, Therese","Oct 7, 2022"
M3GAN,"M3GAN is a marvel of artificial intelligence, a life-like doll programmed to be a child's greatest companion and a parent's greatest ally. Designed by brilliant toy-company roboticist Gemma (Get Out's Allison Williams), M3GAN can listen and watch and learn as she becomes friend and teacher, playmate and protector, for the child she is bonded to. When Gemma suddenly becomes the caretaker of her orphaned 8-year-old niece, Cady (Violet McGraw, The Haunting of Hill House), Gemma's unsure and unprepared to be a parent. Under intense pressure at work, Gemma decides to pair her M3GAN prototype with Cady in an attempt to resolve both problems--a decision that will have unimaginable consequences.","Horror, Mystery & Thriller, Sci-Fi, Comedy",Gerard Johnstone,Akela Cooper,"Allison Williams, Gemma, Violet McGraw, Cady, Ronny Chieng, Brian Jordan Alvarez, Cole, Jen Van Epps, Tess, Lori Dungey","Jan 6, 2023"
